id,title,region,release_date,platform,image_url
"","Adventures of Eldorin","NTSC","2019-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/113385-1.jpg"
"","Adventures of Lolo","NTSC-U																		(United States of America)","1989-04-20","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/328-1.jpg"
"","Adventures of Lolo 2","1990-04-20","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1610-1.png"
"","Adventures of Lolo 3","1991-08-09","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1025-1.jpg"
"","Adventures of Tom Sawyer","1989-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1612-1.jpg"
"","Aerobics Studio","NTSC-J																		(Japan)","1970-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/60011-1.jpg"
"","After Burner","NTSC-J","1989-03-30","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/24721-1.jpg"
"","After Burner","1987-11-11","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/2963-1.jpg"
"","AfterWorld DELUXE","Other","2021-09-20","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/106666-1.jpg"
"","Ai Sensei No Oshiete: Watashi No Hoshi","1993-03-26","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/20559-1.png"
"","Aigina no Yogen: Balubalouk No Densetsu Yori","NTSC																		(Japan)","1986-11-21","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/48343-1.jpg"
