title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"3D Tank Duel","","PAL","","","","1984-01-01","1","No","Action","Not Rated","3D Tank Duel is an early first-person shooter similar to Battlezone. The player controls a tank on a battlefield and the goal is to blow up all the enemy tanks. Radar is on the top screen, and is useful for searching enemies, showing where the enemy tanks appear. The player has unlimited ammo, but accuracy is important. The game has a pseudo-3D view and coloured landscape. Controls are simple, allowing the player to move and fire."
"3D Tanx","","Region Not Set","","dkâ€™tronics","","1983-09-06","1","No","","","3D Tanx is the action game that let's you operate classic military tank. Standing in the front of seemingly deserted bridge the main and only task is to stop every enemy tank that's crossing over. You can move left and right (with the tank), up and down (with the gun turret) and fire explosive shells. Aiming of the gun turret and timing of the shot is critical for success because enemy tanks are moving in four distant lines. Also remember that direct hit to the turret is deadly for enemy (as well for you) whilst the tank hit to the hull is immobilised but still able to shoot on you."
"3D Tunnel","","PAL","","","","1983-01-01","1","No","Action","Not Rated","3D Tunnel is a first-person shooter where you must move down a constantly moving tunnel, which moves in multiple directions, over various phases to escape. As you move through the tunnel you must shoot a certain amount of various creatures including bats, frogs and rats, that come towards you, to move to the next phase. If you hit the walls then you lose one of the ten initial lives, and when they are gone then it is game over. The last phase has no shooting, you just have to avoid various underground trains that hurtle towards you. You are able to practise any phase and there are three speeds to select from (Slow, Medium and Fast)."
"3D Vortex","","PAL","","","","1982-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D-Labyrinth","","PAL","","","","1970-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D-Quadracube","","PAL","","","","1983-01-01","1","No","Action","Not Rated","3D-Quadracube is a three dimensional Tic-tac-toe game that can be played by two players or one player against the computer. The game is played on a 4x4x4 cube that has been cut up into four slices that are drawn isometrically. The aim is to get a line of four and it can be vertical, diagonal or horizontal through the cube or on any of the slices. The game is played with the keyboard and for each move the player enters the number of the slice, the row and the column. After a completed game the winner can get a high score based on the number of moves needed."
"4 Soccer Simulators","Four Soccer Simulators | Pro Soccer Simulator","Region Not Set","","Codemasters","Supersonic Software Ltd.","1988-01-01","4","No","Sports","Not Rated","No overview is currently available for this title, please feel free to add one."
"720 Degrees","","Region Not Set","","","","1987-01-01","1","No","Sports","E - Everyone","No overview is currently available for this title, please feel free to add one."
"747 Flight Simulator","","PAL","","","","1982-01-01","1","No","Flight Simulator","Not Rated","No overview is currently available for this title, please feel free to add one."
"9-Hole Golf","","PAL","","","Granada","1985-01-01","1","No","Sports","Not Rated","No overview is currently available for this title, please feel free to add one."
"911 TS","","PAL","","","","1984-01-01","1","No","Racing","Not Rated","No overview is currently available for this title, please feel free to add one."
"A Day in the Life","","Region Not Set","","Micromega","","1985-01-01","1","No","Puzzle | Platform","E - Everyone","Bearded inventor Sir Clive Sinclair was so respected by users of his computer system that he even starred in this game.

As the title suggests, the game involves navigating Clive past a series of mundane tasks. To give you a clue, the first level involves getting out of bed, getting a suit from a cupboard (dodging a TV, a Spectrum and a cat in doing so), then going upstairs to collect a key (dodging what appears to be an alien), then going back downstairs through the door. Unusually, all points are assessed and awarded after the level is completed."
"A Day in the Life of a Tupperware Salesman","","PAL","","","","1995-01-01","1","No","Adventure","Not Rated","No overview is currently available for this title, please feel free to add one."
"A Fistful of Necronomicons","","PAL","","Zenobi Software","","1992-01-01","1","No","Adventure","Not Rated","No overview is currently available for this title, please feel free to add one."
"A Legacy for Alaric","","PAL","","Zenobi Software","","1989-01-01","1","No","Adventure","Not Rated","No overview is currently available for this title, please feel free to add one."
"A Legacy for Alaric II - The Magic Isle","","PAL","","Zenobi Software","","1995-01-01","1","No","Adventure","Not Rated","No overview is currently available for this title, please feel free to add one."
"A PICTURE OF INNOCENCE","","Region Not Set","","","","1986-01-07","1","No","Adventure","E - Everyone","Year of release	1986
Publisher	G. Turner (UK)
Re-released by	Central Solutions (UK)
Author(s)	G. Turner
Machine type	ZX Spectrum 48K
Number of players	1
Controls	Keyboard
Type	Adventure: Text"
"A.T.R.A.M. Commander v Admiral","","PAL","","","","1984-01-01","1","No","Strategy | Board","Not Rated","No overview is currently available for this title, please feel free to add one."
"Aaargh!","","Region Not Set","","","","","2","No","Action","","No overview is currently available for this title, please feel free to add one."
"Abu Simbel Profanation","","Region Not Set","","Dinamic Software","Dinamic Software","2016-05-01","","No","Platform","E - Everyone","El protagonista, Johny Jones, ha sido transformado por la maldición de Abu Simbel en una extraña criatura de forma circular que sólo conserva de su antigua apariencia la enorme nariz. Para liberarse de la maldición tendrá que adentrarse en la tumba de Abu Simbel, en Egipto, y tras superar toda una serie de obstáculos recuperar su aspecto físico usual."
"Academy Tau Ceti II","","Region Not Set","","CRL Group PLC","Ian Ellery | 																Pete Cooke","","1","No","Action | Shooter | Flight Simulator","E - Everyone","After an incident on 61 Cygnus in 2197 when a rookie pilot selected the wrong 
gear when docking with the main central reactor and reduced half the planet to 
molten lava, Gal-Corp decided that a special training facility was needed to 
provide an elite corps of pilots for the advanced military skimmers used in 
colonisation and reconnaisance work.

The Galcorp Academy for Advanced Skimmer Pilots (GASP) was founded in 2213 
to meet this requirement. With an intake of over a hundred would be skimmer 
pilots a year, only a few meet the exacting requirement of flying and combat 
skills.

In order to graduate from the Academy cadets must complete 20 missions, grouped 
in five levels of four, successfully."
"Ace Low","","PAL","","","","1983-01-01","1","No","Board","Not Rated","No overview is currently available for this title, please feel free to add one."
"Ace of Aces","","Region Not Set","","U.S. Gold Ltd.","Artech Studios","1987-06-06","1","No","Flight Simulator","E10+ - Everyone 10+","Ace of Aces is a 1st person, 2D flight simulation. You're onboard a British RAF Mosquito, maverick fighter bomber. Your mission ... stop enemy trains, intercept the terrible german V-1 buzz bombs, sink the german U-boats and down the Nazi bombers. Are you ready for this challenge?"
"Action Biker Starring Clumsy Colin","","Region Not Set","","","","","","No","","","No overview is currently available for this title, please feel free to add one."
"Action Fighter","","Region Not Set","","","","1989-01-01","1","No","Action | Racing","Not Rated","No overview is currently available for this title, please feel free to add one."
"Action Force","","PAL","United Kingdom of Great Britain and Northern Ireland","Virgin Games, Ltd.","Gang of Five","1987-04-03","1","No","Action","Not Rated","The enemy. COBRA. have launched a surprise attack on the island of Botsneda. In the panic of the evacuation, classified information has been left behind in the eastern sector. The enemy's grip tightens and an immediate raid must take place to retrieve the vital data. This is a job for ACTlON FORCE...

Flint, Lady Jaye  and Quick Kick use a modified A.W.E. Striker to cross the hazardous path to the eastern side of the island. You are Snake Eyes using a custom-built helipack and armed with an automatic rifle. You must defend A.W.E. Striker and clear a safe path. Pontoons must be utilised to allow A.W.E. Striker to cross canals The enemy have installed missiles, initiated electric charge generators and built barricades. You must deal with all of these to allow A.W.E. Striker to complete the mission successfully.

Gang of Five meet ACTION FORCE! Virgin's crack programming team have created this excellent arcade game featuring superb graphics and compelling gameplay

-8 levels of increasing difficulty

-Smooth-scrolling fast arcade action

-Your Spectrum's capabilities pushed to the limit"
"Action Force II","Action Force 2","PAL","United Kingdom of Great Britain and Northern Ireland","Virgin Games, Ltd.","Gang of Five","1988-02-05","1","No","Action","Not Rated","LOOK OUT COBRA, ACTION FORCE ARE BACK!

In the run down slums of the city, COBRA backed terrorists are holding innocent citizens hostage. Action Force have vowed to rescue as many hostages as possible from the clutches of the evil COBRA enemy. Two of their best men have been assigned to the job.

QUICK KICK, super fit and a specialist in unarmed combat, has been given the task of penetrating the terrorist's area in order to free the hostages and rendezvous with the helicopter air support.

AIRTIGHT, CBR Specialist (Chemical, Biological and Radiological Warfare) must provide covering fire for QUICK KICK'S assault. As AIRTIGHT you must use your skill and marksmanship to protect your friend as he climbs the buildings and braves the deadly COBRA tanks to reach the hostages."
