title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Dangerous Demolition","","Other","","HomeBrew Software","","2020-03-27","1","No","Shooter | Unofficial","Not Rated","Dangerous Demolition is a small arcade / action game for your Game Gear!

It's a mix between breakout and a shooter: the balls help you destroy bricks walls, but they can also kill you! Hopefully, you can shoot them to guide them in the right direction."
"Deep Duck Trouble","","NTSC-U","","Sega of America, Inc.","Aspect Co. Ltd. | 																Sega CS R&D 2","1993-12-31","1","No","Platform","E - Everyone","Deep Duck Trouble Starring Donald Duck is a 1993 Game Gear video game developed by Sega CS2 and Aspect and released by Sega of America in the USA on December 31, 1993.

Uncle Scrooge found a magical necklace on a mysterious island, but the necklace put a curse on him. Now Uncle Scrooge is doomed to float around in the air forever! (Of course Donald always said Scrooge was full of hot air anyway!) To take the curse off Uncle Scrooge, Donald has to take the necklace back to the island. But there's plenty of danger awaiting Donald there. How about lending him a hand?"
"Defenders of Oasis","","NTSC-U","","Sega of America, Inc.","Sega CS R&D 2","1992-12-01","1","No","Role-Playing","E10+ - Everyone 10+","Defenders of Oasis is a 1992 Game Gear video game developed by Sega CS2 and released by Sega of America in the USA on December 1, 1992.

As the Prince, you must defend the world of Oasis from the dark forces in this challenging real-time role-playing game!"
"Desert Speedtrap","","Region Not Set","","Sega","Probe Entertainment","1994-01-01","","No","Platform","","Desert Speedtrap starring Road Runner & Wile E. Coyote is an Action game, developed by Probe Entertainment Limited and published by Sega, which was released in 1994."
"Desert Strike","","PAL","","Domark Software","Electronic Arts","1994-01-01","1","No","Action | Shooter","T - Teen","The Game Gear version of Desert Strike was programmed by Electronic Arts and published and distributed by Domark in 1994, released this year for Europe and the United States. It's a surprisingly faithful version of the original, so we're up against a fantastic action-strategy game with isometric view."
"Desert Strike: Return to the Gulf","","Region Not Set","","Domark Group Ltd.","Electronic Arts","1994-01-01","","No","Action","","The Scuds are back! With a fiery blast from your Hellfire missiles you must annihilate a ruthless tyrant's military arsenal. Smoke his private yacht and tear into his air force as you challenge the Madman's forces in a series of surgical strikes. Rip through lots of fiery missions. Force is highly recommended."
"Devilish","","PAL","United Kingdom of Great Britain and Northern Ireland","Sega","Aisystem Tokyo | 																Opera House","1991-01-01","1","No","Action","Not Rated","A prince and princess were in love with each other until a jealous demon turned the happy couple into a set of stone paddles; resembling that of the pinball kind.Suddenly, a ball came into existence that could use the prince and princess in order to defeat the demons that now rule over the kingdom. Players have to use two paddles; the upper one is used to defeat demons while the lower one helps to prevent the player from dropping to its demise at the bottom of the board. By defeating bad guys and smashing through breakable blocks, the player advances towards the boss of each level.
Resembling a harder version of Arkanoid, the vertically scrolling screen forces the ball to move constantly forward in an attempt to reach the boss.
Only the Sega Mega Drive version has a two-player option. Players can choose between three difficulty levels in the Game Gear version and can also select an option to do a time trial."
"Disney's Aladdin","","NTSC","","Sega","SIMS Co., Ltd.","1993-01-01","1","No","Action | Adventure | Platform","E - Everyone","Aladdin (アラジン) is a platform game developed by Sims on Game Gear, Nexa on Master System, and published by Sega and TecToy in 1994. It is based on Disney's movie of the same name . An entirely different game of the same name was developed for the Sega Mega Drive by Virgin Interactive."
"Disney's Ariel: The Little Mermaid","","Other","United States of America","Sega of America, Inc.","BlueSky Software | 																Disney Software","1993-02-01","1","No","Action | Adventure","E - Everyone","King Triton and his daughter Ariel battle the dangers of the deep to save the kingdom. As Triton, you must rescue Ariel and break Ursula's curse. As Ariel, the little mermaid, you must battle bewitched sea creatures and defeat Ursula to save Triton and the kidnapped merpeople. Dodge angry sharks, sword-wielding skeletons, and falling boulders. Battle the Molten Lava monster and slimy, stinging eels. And if you dare, brave the snake-infested locks of The Medusa. Navigate through undersea mazes, avoiding traps. Pals Sebastian and Flounder rush to the rescue in tight spots. Open sunken treasure chests loaded with booty. Consult maps which lead to your imprisoned friends. Then come face to face with Ursula the Sea Witch, and battle her in a final showdown!"
"Disney's Bonkers: Wax Up!","","NTSC","United States of America","Sega of America, Inc.","Al Baker & Associates | 																Disney Software","1995-02-01","1","No","Platform","E - Everyone","Creepy Madame Who-Said has lured Bonkers to her spooky Wax Museum where she's turning famous Toons into wax statues! Help Bonkers duck, dodge and sidestep through 6 sticky levels to find his pal Lucky and save the Toons from becoming hot-wax has-beens!"
